rank,primary_isbn10,primary_isbn13,publisher,title,author,category,pub_date
3,1501183699,9781501183690,Threshold Editions,THE LONG SLIDE,Tucker Carlson,Hardcover Nonfiction,2021-09-19
4,0593139135,9780593139134,Crown,GREENLIGHTS,Matthew McConaughey,Hardcover Nonfiction,2021-09-19
5,1984801252,9781984801258,Dial,UNTAMED,Glennon Doyle,Hardcover Nonfiction,2021-09-19
6,0593230256,9780593230251,Random House,CASTE,Isabel Wilkerson,Hardcover Nonfiction,2021-09-19
7,1250223180,9781250223180,Flatiron,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Hardcover Nonfiction,2021-09-19
8,0525657746,9780525657743,Knopf,CRYING IN H MART,Michelle Zauner,Hardcover Nonfiction,2021-09-19
9,1984878107,9781984878106,Viking,THINK AGAIN,Adam Grant,Hardcover Nonfiction,2021-09-19
10,1250278457,9781250278456,St. Martin's,THE RECKONING,Mary L. Trump,Hardcover Nonfiction,2021-09-19
11,0399590501,9780399590504,Random House,EDUCATED,Tara Westover,Hardcover Nonfiction,2021-09-19
12,152474672X,9781524746728,Dutton,DOPAMINE NATION,Anna Lembke,Hardcover Nonfiction,2021-09-19
13,1101947330,9781101947333,Knopf,ALL IN,Billie Jean King with Johnette Howard and Maryanne Vollers,Hardcover Nonfiction,2021-09-19
14,0393881555,9780393881554,Norton,THE PREMONITION,Michael Lewis,Hardcover Nonfiction,2021-09-19
15,1546090789,9781546090786,Center Street,"WOKE, INC.",Vivek Ramaswamy,Hardcover Nonfiction,2021-09-19
1,150113597X,9781501135972,Threshold Editions,AMERICAN MARXISM,Mark R. Levin,Hardcover Nonfiction,2021-09-12
2,1501183699,9781501183690,Threshold Editions,THE LONG SLIDE,Tucker Carlson,Hardcover Nonfiction,2021-09-12
3,154173033X,9781541730335,PublicAffairs,HERO OF TWO WORLDS,Mike Duncan,Hardcover Nonfiction,2021-09-12
4,1250278457,9781250278456,St. Martin's,THE RECKONING,Mary L. Trump,Hardcover Nonfiction,2021-09-12
5,1250223180,9781250223180,Flatiron,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Hardcover Nonfiction,2021-09-12
6,152474672X,9781524746728,Dutton,DOPAMINE NATION,Anna Lembke,Hardcover Nonfiction,2021-09-12
7,1546090789,9781546090786,Center Street,"WOKE, INC.",Vivek Ramaswamy,Hardcover Nonfiction,2021-09-12
8,1538719266,9781538719268,Twelve,THE MASTER,Christopher Clarey,Hardcover Nonfiction,2021-09-12
9,0593139135,9780593139134,Crown,GREENLIGHTS,Matthew McConaughey,Hardcover Nonfiction,2021-09-12
10,0593230256,9780593230251,Random House,CASTE,Isabel Wilkerson,Hardcover Nonfiction,2021-09-12
11,0525657746,9780525657743,Knopf,CRYING IN H MART,Michelle Zauner,Hardcover Nonfiction,2021-09-12
12,1984801252,9781984801258,Dial,UNTAMED,Glennon Doyle,Hardcover Nonfiction,2021-09-12
13,1984878107,9781984878106,Viking,THINK AGAIN,Adam Grant,Hardcover Nonfiction,2021-09-12
14,0593298942,9780593298947,Penguin Press,I ALONE CAN FIX IT,Carol Leonnig and Philip Rucker,Hardcover Nonfiction,2021-09-12
15,0399590501,9780399590504,Random House,EDUCATED,Tara Westover,Hardcover Nonfiction,2021-09-12
1,150113597X,9781501135972,Threshold Editions,AMERICAN MARXISM,Mark R. Levin,Hardcover Nonfiction,2021-09-05
2,1546090789,9781546090786,Center Street,"WOKE, INC.",Vivek Ramaswamy,Hardcover Nonfiction,2021-09-05
3,1501183699,9781501183690,Threshold Editions,THE LONG SLIDE,Tucker Carlson,Hardcover Nonfiction,2021-09-05
4,1250278457,9781250278456,St. Martin's,THE RECKONING,Mary L. Trump,Hardcover Nonfiction,2021-09-05
5,1101947330,9781101947333,Knopf,ALL IN,Billie Jean King with Johnette Howard and Maryanne Vollers,Hardcover Nonfiction,2021-09-05
6,0593139135,9780593139134,Crown,GREENLIGHTS,Matthew McConaughey,Hardcover Nonfiction,2021-09-05
7,0593298942,9780593298947,Penguin Press,I ALONE CAN FIX IT,Carol Leonnig and Philip Rucker,Hardcover Nonfiction,2021-09-05
8,1250223180,9781250223180,Flatiron,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Hardcover Nonfiction,2021-09-05
9,1984801252,9781984801258,Dial,UNTAMED,Glennon Doyle,Hardcover Nonfiction,2021-09-05
10,0525657746,9780525657743,Knopf,CRYING IN H MART,Michelle Zauner,Hardcover Nonfiction,2021-09-05
11,0593230256,9780593230251,Random House,CASTE,Isabel Wilkerson,Hardcover Nonfiction,2021-09-05
12,0063001829,9780063001824,Broadside,THE AUTHORITARIAN MOMENT,Ben Shapiro,Hardcover Nonfiction,2021-09-05
13,0399590501,9780399590504,Random House,EDUCATED,Tara Westover,Hardcover Nonfiction,2021-09-05
14,0063018950,9780063018952,Dey Street,BREATHE,Rickson Gracie with Peter Maguire,Hardcover Nonfiction,2021-09-05
15,0063049082,9780063049086,Broadside,HOW I SAVED THE WORLD,Jesse Watters,Hardcover Nonfiction,2021-09-05
1,150113597X,9781501135972,Threshold Editions,AMERICAN MARXISM,Mark R. Levin,Hardcover Nonfiction,2021-08-29
2,1501183699,9781501183690,Threshold Editions,THE LONG SLIDE,Tucker Carlson,Hardcover Nonfiction,2021-08-29
3,0306924129,9780306924125,Hachette,GIANNIS,Mirin Fader,Hardcover Nonfiction,2021-08-29
4,0593298942,9780593298947,Penguin Press,I ALONE CAN FIX IT,Carol Leonnig and Philip Rucker,Hardcover Nonfiction,2021-08-29
5,0063079429,9780063079427,Harper,"HERE, RIGHT MATTERS",Alexander Vindman,Hardcover Nonfiction,2021-08-29
6,1250223180,9781250223180,Flatiron,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Hardcover Nonfiction,2021-08-29
7,0593139135,9780593139134,Crown,GREENLIGHTS,Matthew McConaughey,Hardcover Nonfiction,2021-08-29
8,0063018950,9780063018952,Dey Street,BREATHE,Rickson Gracie with Peter Maguire,Hardcover Nonfiction,2021-08-29
9,0063001829,9780063001824,Broadside,THE AUTHORITARIAN MOMENT,Ben Shapiro,Hardcover Nonfiction,2021-08-29
10,0063049082,9780063049086,Broadside,HOW I SAVED THE WORLD,Jesse Watters,Hardcover Nonfiction,2021-08-29
11,1984801252,9781984801258,Dial,UNTAMED,Glennon Doyle,Hardcover Nonfiction,2021-08-29
12,0525657746,9780525657743,Knopf,CRYING IN H MART,Michelle Zauner,Hardcover Nonfiction,2021-08-29
13,0316296619,9780316296618,"Little, Brown",THE BOMBER MAFIA,Malcolm Gladwell,Hardcover Nonfiction,2021-08-29
14,0593230256,9780593230251,Random House,CASTE,Isabel Wilkerson,Hardcover Nonfiction,2021-08-29
15,125027365X,9781250273659,St. Martin's,KILLING THE MOB,Bill O'Reilly and Martin Dugard,Hardcover Nonfiction,2021-08-29
1,150113597X,9781501135972,Threshold Editions,AMERICAN MARXISM,Mark R. Levin,Hardcover Nonfiction,2021-08-22
2,0063079429,9780063079427,Harper,"HERE, RIGHT MATTERS",Alexander Vindman,Hardcover Nonfiction,2021-08-22
3,0593298942,9780593298947,Penguin Press,I ALONE CAN FIX IT,Carol Leonnig and Philip Rucker,Hardcover Nonfiction,2021-08-22
4,0063001829,9780063001824,Broadside,THE AUTHORITARIAN MOMENT,Ben Shapiro,Hardcover Nonfiction,2021-08-22
5,0063049082,9780063049086,Broadside,HOW I SAVED THE WORLD,Jesse Watters,Hardcover Nonfiction,2021-08-22
6,0393881555,9780393881554,Norton,THE PREMONITION,Michael Lewis,Hardcover Nonfiction,2021-08-22
7,0593139135,9780593139134,Crown,GREENLIGHTS,Matthew McConaughey,Hardcover Nonfiction,2021-08-22
8,125027365X,9781250273659,St. Martin's,KILLING THE MOB,Bill O'Reilly and Martin Dugard,Hardcover Nonfiction,2021-08-22
9,1250223180,9781250223180,Flatiron,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Hardcover Nonfiction,2021-08-22
10,1984801252,9781984801258,Dial,UNTAMED,Glennon Doyle,Hardcover Nonfiction,2021-08-22
11,0593230256,9780593230251,Random House,CASTE,Isabel Wilkerson,Hardcover Nonfiction,2021-08-22
12,0525657746,9780525657743,Knopf,CRYING IN H MART,Michelle Zauner,Hardcover Nonfiction,2021-08-22
13,0374200092,9780374200091,"Farrar, Straus & Giroux",PUTTING IT TOGETHER,James Lapine,Hardcover Nonfiction,2021-08-22
14,031656169X,9780316561693,"Little, Brown",ALL THE FREQUENT TROUBLES OF OUR DAYS,Rebecca Donner,Hardcover Nonfiction,2021-08-22
15,0593296907,9780593296905,Penguin Press,THIS IS YOUR MIND ON PLANTS,Michael Pollan,Hardcover Nonfiction,2021-08-22
1,150113597X,9781501135972,Threshold Editions,AMERICAN MARXISM,Mark R. Levin,Hardcover Nonfiction,2021-08-15
2,0593298942,9780593298947,Penguin Press,I ALONE CAN FIX IT,Carol Leonnig and Philip Rucker,Hardcover Nonfiction,2021-08-15
3,0063001829,9780063001824,Broadside,THE AUTHORITARIAN MOMENT,Ben Shapiro,Hardcover Nonfiction,2021-08-15
4,0063049082,9780063049086,Broadside,HOW I SAVED THE WORLD,Jesse Watters,Hardcover Nonfiction,2021-08-15
5,153873480X,9781538734803,Twelve,"FRANKLY, WE DID WIN THIS ELECTION",Michael C. Bender,Hardcover Nonfiction,2021-08-15
6,125083001X,9781250830012,Holt,LANDSLIDE,Michael Wolff,Hardcover Nonfiction,2021-08-15
7,1250223180,9781250223180,Flatiron,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Hardcover Nonfiction,2021-08-15
8,0593139135,9780593139134,Crown,GREENLIGHTS,Matthew McConaughey,Hardcover Nonfiction,2021-08-15
9,1984801252,9781984801258,Dial,UNTAMED,Glennon Doyle,Hardcover Nonfiction,2021-08-15
10,0593296907,9780593296905,Penguin Press,THIS IS YOUR MIND ON PLANTS,Michael Pollan,Hardcover Nonfiction,2021-08-15
11,125027365X,9781250273659,St. Martin's,KILLING THE MOB,Bill O'Reilly and Martin Dugard,Hardcover Nonfiction,2021-08-15
12,0593230256,9780593230251,Random House,CASTE,Isabel Wilkerson,Hardcover Nonfiction,2021-08-15
13,1984878107,9781984878106,Viking,THINK AGAIN,Adam Grant,Hardcover Nonfiction,2021-08-15
14,0525657746,9780525657743,Knopf,CRYING IN H MART,Michelle Zauner,Hardcover Nonfiction,2021-08-15
15,0316296619,9780316296618,"Little, Brown",THE BOMBER MAFIA,Malcolm Gladwell,Hardcover Nonfiction,2021-08-15
1,150113597X,9781501135972,Threshold Editions,AMERICAN MARXISM,Mark R. Levin,Hardcover Nonfiction,2021-08-08
2,0593298942,9780593298947,Penguin Press,I ALONE CAN FIX IT,Carol Leonnig and Philip Rucker,Hardcover Nonfiction,2021-08-08
3,125083001X,9781250830012,Holt,LANDSLIDE,Michael Wolff,Hardcover Nonfiction,2021-08-08
4,0063049082,9780063049086,Broadside,HOW I SAVED THE WORLD,Jesse Watters,Hardcover Nonfiction,2021-08-08
5,0593296907,9780593296905,Penguin Press,THIS IS YOUR MIND ON PLANTS,Michael Pollan,Hardcover Nonfiction,2021-08-08
6,0593139135,9780593139134,Crown,GREENLIGHTS,Matthew McConaughey,Hardcover Nonfiction,2021-08-08
7,1250223180,9781250223180,Flatiron,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,Hardcover Nonfiction,2021-08-08
8,1984801252,9781984801258,Dial,UNTAMED,Glennon Doyle,Hardcover Nonfiction,2021-08-08
9,0593230256,9780593230251,Random House,CASTE,Isabel Wilkerson,Hardcover Nonfiction,2021-08-08
10,125027365X,9781250273659,St. Martin's,KILLING THE MOB,Bill O'Reilly and Martin Dugard,Hardcover Nonfiction,2021-08-08
11,153873480X,9781538734803,Twelve,"FRANKLY, WE DID WIN THIS ELECTION",Michael C. Bender,Hardcover Nonfiction,2021-08-08
12,0525657746,9780525657743,Knopf,CRYING IN H MART,Michelle Zauner,Hardcover Nonfiction,2021-08-08
13,0316296619,9780316296618,"Little, Brown",THE BOMBER MAFIA,Malcolm Gladwell,Hardcover Nonfiction,2021-08-08
14,1984878107,9781984878106,Viking,THINK AGAIN,Adam Grant,Hardcover Nonfiction,2021-08-08
15,0525555218,9780525555216,Dutton,THE ANTHROPOCENE REVIEWED,John Green,Hardcover Nonfiction,2021-08-08
1,None,A00B01MT5HMRV,Lauren Blakely,FULL PACKAGE,Lauren Blakely,E-Book Fiction,current
2,0440337976,9780440337973,Dial,THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY,Mary Ann Shaffer and Annie Barrows,E-Book Fiction,current
3,0385541201,9780385541206,Doubleday,THE WHISTLER,John Grisham,E-Book Fiction,current
4,None,9781101984772,Dutton,RING OF FIRE,Brad Taylor,E-Book Fiction,current
5,034554496X,9780345544964,Ballantine,SMALL GREAT THINGS,Jodi Picoult,E-Book Fiction,current
6,None,A00B01MF62CN8,Stoker Aces Production,SHELTER FOR ADELINE,Susan Stoker,E-Book Fiction,current
7,None,9781476738031,Atria,A MAN CALLED OVE,Fredrik Backman,E-Book Fiction,current
8,0425285359,9780425285350,Delacorte,THE MISTRESS,Danielle Steel,E-Book Fiction,current
9,,9780698193000,Berkley,THE GUESTS ON SOUTH BATTERY,Karen White,E-Book Fiction,current
10,1455586498,9781455586493,Grand Central,NO MAN'S LAND,David Baldacci,E-Book Fiction,current
11,None,9780399574184,Putnam,BELOW THE BELT,Stuart Woods,E-Book Fiction,current
12,031640716X,9780316407168,"Little, Brown",CROSS THE LINE,James Patterson,E-Book Fiction,current
13,1250105617,9781250105615,Flatiron,THE DRY,Jane Harper,E-Book Fiction,current
14,1429960272,9781429960274,Forge,A DOG'S PURPOSE,W Bruce Cameron,E-Book Fiction,current
15,0385538928,9780385538923,Doubleday,THE SLEEPWALKER,Chris Bohjalian,E-Book Fiction,current
1,None,9780399574184,Putnam,BELOW THE BELT,Stuart Woods,E-Book Fiction,2017-01-22
2,0425285359,9780425285350,Delacorte,THE MISTRESS,Danielle Steel,E-Book Fiction,2017-01-22
3,0345459504,9780345459503,Ballantine,DISTANT SHORES,Kristin Hannah,E-Book Fiction,2017-01-22
4,0385541201,9780385541206,Doubleday,THE WHISTLER,John Grisham,E-Book Fiction,2017-01-22
5,1627795952,9781627795951,Henry Holt,THE NORTH WATER,Ian McGuire,E-Book Fiction,2017-01-22
6,None,9780698156357,Penguin,SILVER BAY,Jojo Moyes,E-Book Fiction,2017-01-22
7,034554496X,9780345544964,Ballantine,SMALL GREAT THINGS,Jodi Picoult,E-Book Fiction,2017-01-22
8,0997263644,9780997263640,KT Publishing,COMMANDER IN CHIEF,Katy Evans,E-Book Fiction,2017-01-22
9,None,9781476738031,Atria,A MAN CALLED OVE,Fredrik Backman,E-Book Fiction,2017-01-22
10,0547345666,9780547345666,Houghton Mifflin Harcourt,THE HANDMAID'S TALE,Margaret Atwood,E-Book Fiction,2017-01-22
11,031640716X,9780316407168,"Little, Brown",CROSS THE LINE,James Patterson,E-Book Fiction,2017-01-22
12,1455586498,9781455586493,Grand Central,NO MAN'S LAND,David Baldacci,E-Book Fiction,2017-01-22
13,006175272X,9780061752728,HarperCollins,STATE OF FEAR,Michael Crichton,E-Book Fiction,2017-01-22
14,1942833296,9781942833291,Flip City Media,SEPARATION GAMES,C D Reiss,E-Book Fiction,2017-01-22
15,1466851902,9781466851900,Forge,THE FINAL DAY,William R Forstchen,E-Book Fiction,2017-01-22
1,0316225959,9780316225953,"Little, Brown",THE WRONG SIDE OF GOODBYE,Michael Connelly,E-Book Fiction,2017-01-15
2,1455586498,9781455586493,Grand Central,NO MAN'S LAND,David Baldacci,E-Book Fiction,2017-01-15
3,1250069815,9781250069818,Flatiron,TRULY MADLY GUILTY,Liane Moriarty,E-Book Fiction,2017-01-15
4,None,9781420140668,Zebra,CRASH AND BURN,Fern Michaels,E-Book Fiction,2017-01-15
5,0385541201,9780385541206,Doubleday,THE WHISTLER,John Grisham,E-Book Fiction,2017-01-15
6,1101904232,9781101904237,Broadway,DARK MATTER,Blake Crouch,E-Book Fiction,2017-01-15
7,1466850604,9781466850606,St. Martin's,THE NIGHTINGALE,Kristin Hannah,E-Book Fiction,2017-01-15
8,None,A00B01LYEOR3I,Aurora Rose Reynolds,UNTIL ASHLYN,Aurora Rose Reynolds,E-Book Fiction,2017-01-15
9,1466885807,9781466885806,Thomas Dunne,ALL THE UGLY AND WONDERFUL THINGS,Bryn Greenwood,E-Book Fiction,2017-01-15
10,0062416219,9780062416216,HarperCollins,THE ALCHEMIST,Paulo Coelho,E-Book Fiction,2017-01-15
11,1101947144,9781101947142,Knopf,HOMEGOING,Yaa Gyasi,E-Book Fiction,2017-01-15
12,031640716X,9780316407168,"Little, Brown",CROSS THE LINE,James Patterson,E-Book Fiction,2017-01-15
13,0062414232,9780062414236,Ecco/HarperCollins,THE NEST,Cynthia D'Aprix Sweeney,E-Book Fiction,2017-01-15
14,1488022666,9781488022661,Carina Press,EVERYTHING FOR HER,Alexa Riley,E-Book Fiction,2017-01-15
15,034554496X,9780345544964,Ballantine,SMALL GREAT THINGS,Jodi Picoult,E-Book Fiction,2017-01-15
1,None,A00B01HFPDRI4,Waterhouse,MELT,Helen Hardt,E-Book Fiction,2017-01-08
2,1943772711,9781943772711,NYLA,ONE FELL SWEEP,Ilona Andrews,E-Book Fiction,2017-01-08
3,0385541201,9780385541206,Doubleday,THE WHISTLER,John Grisham,E-Book Fiction,2017-01-08
4,031640716X,9780316407168,"Little, Brown",CROSS THE LINE,James Patterson,E-Book Fiction,2017-01-08
5,1455586498,9781455586493,Grand Central,NO MAN'S LAND,David Baldacci,E-Book Fiction,2017-01-08
6,034554496X,9780345544964,Ballantine,SMALL GREAT THINGS,Jodi Picoult,E-Book Fiction,2017-01-08
7,None,9780698410664,Putnam,TOM CLANCY TRUE FAITH AND ALLEGIANCE,Mark Greaney,E-Book Fiction,2017-01-08
8,080417881X,9780804178815,Delacorte,NIGHT SCHOOL,Lee Child,E-Book Fiction,2017-01-08
9,0316225959,9780316225953,"Little, Brown",THE WRONG SIDE OF GOODBYE,Michael Connelly,E-Book Fiction,2017-01-08
10,None,A00B01FWPZQRY,Waterhouse,CRAVING,Helen Hardt,E-Book Fiction,2017-01-08
11,None,9781476738031,Atria,A MAN CALLED OVE,Fredrik Backman,E-Book Fiction,2017-01-08
12,1455569941,9781455569946,Forever,THE TROUBLE WITH DUKES,Grace Burrowes,E-Book Fiction,2017-01-08
13,0385537042,9780385537049,Doubleday,THE UNDERGROUND RAILROAD,Colson Whitehead,E-Book Fiction,2017-01-08
14,0345543025,9780345543028,Bantam,TURBO TWENTY-THREE,Janet Evanovich,E-Book Fiction,2017-01-08
15,1628727233,9781628727234,Arcade,THE HAMILTON AFFAIR,Elizabeth Cobbs,E-Book Fiction,2017-01-08
1,0062381709,9780062381705,Morrow/HarperCollins,THE SEVENTH PLAGUE,James Rollins,E-Book Fiction,2017-01-01
2,1946136034,9781946136039,HTJB,LIGHT AFTER DARK,Marie Force,E-Book Fiction,2017-01-01
3,0385541201,9780385541206,Doubleday,THE WHISTLER,John Grisham,E-Book Fiction,2017-01-01
4,031640716X,9780316407168,"Little, Brown",CROSS THE LINE,James Patterson,E-Book Fiction,2017-01-01
5,1455586498,9781455586493,Grand Central,NO MAN'S LAND,David Baldacci,E-Book Fiction,2017-01-01
6,1101968117,9781101968116,Loveswept,MAX,Sawyer Bennett,E-Book Fiction,2017-01-01
7,080417881X,9780804178815,Delacorte,NIGHT SCHOOL,Lee Child,E-Book Fiction,2017-01-01
8,1942847041,9781942847045,WGW Books,NAUGHTY BOSS,Whitney G,E-Book Fiction,2017-01-01
9,None,9780698410664,Putnam,TOM CLANCY TRUE FAITH AND ALLEGIANCE,Mark Greaney,E-Book Fiction,2017-01-01
10,None,9780451488701,Intermix,DARK CRIME,Christine Feehan,E-Book Fiction,2017-01-01
11,0698190750,9780698190757,Berkley,ISLAND OF GLASS,Nora Roberts,E-Book Fiction,2017-01-01
12,0316225959,9780316225953,"Little, Brown",THE WRONG SIDE OF GOODBYE,Michael Connelly,E-Book Fiction,2017-01-01
13,034554496X,9780345544964,Ballantine,SMALL GREAT THINGS,Jodi Picoult,E-Book Fiction,2017-01-01
14,None,9780997120172,Teddy Harrison,MOONSHADOW,Thea Harrison,E-Book Fiction,2017-01-01
15,0385537042,9780385537049,Doubleday,THE UNDERGROUND RAILROAD,Colson Whitehead,E-Book Fiction,2017-01-01
1,0698190750,9780698190757,Berkley,ISLAND OF GLASS,Nora Roberts,E-Book Fiction,2016-12-25
2,None,9780698410664,Putnam,TOM CLANCY TRUE FAITH AND ALLEGIANCE,Mark Greaney,E-Book Fiction,2016-12-25
3,0698193288,9780698193284,Ballantine,BLOOD VOW,J R Ward,E-Book Fiction,2016-12-25
4,0316217638,9780316217637,Orbit,BABYLON'S ASHES,James S A Corey,E-Book Fiction,2016-12-25
5,031640716X,9780316407168,"Little, Brown",CROSS THE LINE,James Patterson,E-Book Fiction,2016-12-25
6,1455586498,9781455586493,Grand Central,NO MAN'S LAND,David Baldacci,E-Book Fiction,2016-12-25
7,0385541201,9780385541206,Doubleday,THE WHISTLER,John Grisham,E-Book Fiction,2016-12-25
8,099726361X,9780997263619,KT Publishing,WOMANIZER,Katy Evans,E-Book Fiction,2016-12-25
9,080417881X,9780804178815,Delacorte,NIGHT SCHOOL,Lee Child,E-Book Fiction,2016-12-25
10,110188486X,9781101884867,Loveswept,SOMEONE LIKE YOU,Lauren Layne,E-Book Fiction,2016-12-25
11,0316225959,9780316225953,"Little, Brown",THE WRONG SIDE OF GOODBYE,Michael Connelly,E-Book Fiction,2016-12-25
12,1101632097,9781101632093,Penguin,MRS. HEMINGWAY,Naomi Wood,E-Book Fiction,2016-12-25
13,0345543025,9780345543028,Bantam,TURBO TWENTY-THREE,Janet Evanovich,E-Book Fiction,2016-12-25
14,034554496X,9780345544964,Ballantine,SMALL GREAT THINGS,Jodi Picoult,E-Book Fiction,2016-12-25
15,0316319996,9780316319997,"Little, Brown",THE CHRISTMAS MYSTERY,James Patterson with Richard DiLallo,E-Book Fiction,2016-12-25
1,1455520705,9781455520701,Grand Central,TWO BY TWO,Nicholas Sparks,E-Book Fiction,2016-12-18
2,1250069815,9781250069818,Flatiron,TRULY MADLY GUILTY,Liane Moriarty,E-Book Fiction,2016-12-18
3,1250121019,9781250121011,St. Martin's,BEHIND CLOSED DOORS,B A Paris,E-Book Fiction,2016-12-18
4,1455586498,9781455586493,Grand Central,NO MAN'S LAND,David Baldacci,E-Book Fiction,2016-12-18
5,080417881X,9780804178815,Delacorte,NIGHT SCHOOL,Lee Child,E-Book Fiction,2016-12-18
6,,9780062101204,Morrow/HarperCollins,ORPHAN TRAIN,Christina Baker Kline,E-Book Fiction,2016-12-18
7,0385541201,9780385541206,Doubleday,THE WHISTLER,John Grisham,E-Book Fiction,2016-12-18
8,1459295366,9781459295360,Harlequin,UNFINISHED BUSINESS,Nora Roberts,E-Book Fiction,2016-12-18
9,031640716X,9780316407168,"Little, Brown",CROSS THE LINE,James Patterson,E-Book Fiction,2016-12-18
10,0062250825,9780062250827,Harper,THE FLAME BEARER,Bernard Cornwell,E-Book Fiction,2016-12-18
11,0553897845,9780553897845,Bantam,A GAME OF THRONES,George RR Martin,E-Book Fiction,2016-12-18
12,0345543025,9780345543028,Bantam,TURBO TWENTY-THREE,Janet Evanovich,E-Book Fiction,2016-12-18
13,0316225959,9780316225953,"Little, Brown",THE WRONG SIDE OF GOODBYE,Michael Connelly,E-Book Fiction,2016-12-18
14,1939996465,9781939996466,Denise Grover Swank,FAMILY JEWELS,Denise Grover Swank,E-Book Fiction,2016-12-18
15,None,9780698193673,Berkley,WHEN ALL THE GIRLS HAVE GONE,Jayne Ann Krentz,E-Book Fiction,2016-12-18
1,031640716X,9780316407168,"Little, Brown",CROSS THE LINE,James Patterson,E-Book Fiction,2016-12-11
2,0316387851,9780316387859,"Little, Brown",THE CHEMIST,Stephenie Meyer,E-Book Fiction,2016-12-11
3,1455586498,9781455586493,Grand Central,NO MAN'S LAND,David Baldacci,E-Book Fiction,2016-12-11
4,080417881X,9780804178815,Delacorte,NIGHT SCHOOL,Lee Child,E-Book Fiction,2016-12-11
5,0385541201,9780385541206,Doubleday,THE WHISTLER,John Grisham,E-Book Fiction,2016-12-11
6,1459295366,9781459295360,Harlequin,UNFINISHED BUSINESS,Nora Roberts,E-Book Fiction,2016-12-11
7,0345543025,9780345543028,Bantam,TURBO TWENTY-THREE,Janet Evanovich,E-Book Fiction,2016-12-11
8,,9780062101204,Morrow/HarperCollins,ORPHAN TRAIN,Christina Baker Kline,E-Book Fiction,2016-12-11
9,0316225959,9780316225953,"Little, Brown",THE WRONG SIDE OF GOODBYE,Michael Connelly,E-Book Fiction,2016-12-11
10,1250022126,9781250022127,Minotaur,A GREAT RECKONING,Louise Penny,E-Book Fiction,2016-12-11
11,034554496X,9780345544964,Ballantine,SMALL GREAT THINGS,Jodi Picoult,E-Book Fiction,2016-12-11
12,None,9781681196336,Bloomsbury Spark,OUT OF BOUNDS,Lauren Blakely,E-Book Fiction,2016-12-11
13,0062320246,9780062320247,Harper,THE BLACK WIDOW,Daniel Silva,E-Book Fiction,2016-12-11
14,None,A00B01EIJC2TK,Waterhouse,OVER THE EDGE,Meredith Wild,E-Book Fiction,2016-12-11
15,0698185390,9780698185395,Riverhead,THE GIRL ON THE TRAIN,Paula Hawkins,E-Book Fiction,2016-12-11
1,0345543025,9780345543028,Bantam,TURBO TWENTY-THREE,Janet Evanovich,E-Book Fiction,2016-12-04
2,1455586498,9781455586493,Grand Central,NO MAN'S LAND,David Baldacci,E-Book Fiction,2016-12-04
3,0062436724,9780062436726,Morrow,CHAOS,Patricia Cornwell,E-Book Fiction,2016-12-04
4,080417881X,9780804178815,Delacorte,NIGHT SCHOOL,Lee Child,E-Book Fiction,2016-12-04
5,0385541201,9780385541206,Doubleday,THE WHISTLER,John Grisham,E-Book Fiction,2016-12-04
6,None,9780399575525,Putnam,ODESSA SEA,Clive Cussler and Dirk Cussler,E-Book Fiction,2016-12-04
7,1501108603,9781501108600,Simon & Schuster,THE SLEEPING BEAUTY KILLER,Mary Higgins Clark and Alafair Burke,E-Book Fiction,2016-12-04
8,0316225959,9780316225953,"Little, Brown",THE WRONG SIDE OF GOODBYE,Michael Connelly,E-Book Fiction,2016-12-04
9,034554496X,9780345544964,Ballantine,SMALL GREAT THINGS,Jodi Picoult,E-Book Fiction,2016-12-04
10,None,A00B01M23RUSL,Plain Jane,MANAGED,Kristen Callihan,E-Book Fiction,2016-12-04
11,1942832036,9781942832034,JKB,SWEET CHEEKS,K Bromberg,E-Book Fiction,2016-12-04
12,None,A00B01KKOTNBW,Stoker Aces,RESCUING HARLEY,Susan Stoker,E-Book Fiction,2016-12-04
13,0698185390,9780698185395,Riverhead,THE GIRL ON THE TRAIN,Paula Hawkins,E-Book Fiction,2016-12-04
14,None,9781476738031,Atria,A MAN CALLED OVE,Fredrik Backman,E-Book Fiction,2016-12-04
15,0997552948,9780997552942,VanScoy,MISCHIEF AND THE MASTERS,Cherise Sinclair,E-Book Fiction,2016-12-04
1,080417881X,9780804178815,Delacorte,NIGHT SCHOOL,Lee Child,E-Book Fiction,2016-11-27
2,0385541201,9780385541206,Doubleday,THE WHISTLER,John Grisham,E-Book Fiction,2016-11-27
3,1466867515,9781466867512,St. Martin's,THIS WAS A MAN,Jeffrey Archer,E-Book Fiction,2016-11-27
4,0316225959,9780316225953,"Little, Brown",THE WRONG SIDE OF GOODBYE,Michael Connelly,E-Book Fiction,2016-11-27
5,None,9780698406216,Jove,LEOPARD'S FURY,Christine Feehan,E-Book Fiction,2016-11-27
